code,hs2,imports,commodity,exports,total
MB,66,822362,Umbrellas,0,822362
AB,80,792196,Tin,0,792196
MB,80,737504,Tin,0,737504
PE,73,737064,Articles of iron & steel,0,737064
NS,53,733142,Vegetable textile fibres,0,733142
NB,41,726042,Raw hides & skins,0,726042
NS,46,712318,Basketware,0,712318
MB,51,712074,Wool,0,712074
NS,41,687673,Raw hides & skins,0,687673
SK,58,687338,Special woven fabrics,0,687338
NU,99,679170,Confidential / low-value (CA),0,679170
NS,79,663152,Zinc,0,663152
NL,34,658743,Soap & cleaning products,0,658743
SK,14,632177,Vegetable materials,0,632177
NS,75,614478,Nickel,0,614478
NU,86,612881,Railway equipment,0,612881
NB,55,590618,Man-made staple fibres,0,590618
NB,98,586219,Special transactions (CA),0,586219
NS,11,572650,Milling products,0,572650
SK,91,548701,Clocks & watches,0,548701
NS,55,547770,Man-made staple fibres,0,547770
NL,87,542166,Vehicles,0,542166
MB,78,538936,Lead,0,538936
NB,64,536927,Footwear,0,536927
NB,36,515572,Explosives,0,515572
NL,86,500096,Railway equipment,0,500096
NB,81,479388,Other base metals,0,479388
NB,52,460719,Cotton,0,460719
NL,76,451944,Aluminium,0,451944
NB,02,451457,Meat & offal,0,451457
NL,26,408953,"Ores, slag & ash",0,408953
NL,63,391248,Other made-up textiles,0,391248
NS,66,381912,Umbrellas,0,381912
NB,79,369604,Zinc,0,369604
MB,14,352455,Vegetable materials,0,352455
SK,78,334911,Lead,0,334911
YT,73,309897,Articles of iron & steel,0,309897
NL,96,298841,Miscellaneous manufactures,0,298841
NB,67,293873,Feathers & artificial flowers,0,293873
NB,60,293053,Knitted fabrics,0,293053
YT,34,285836,Soap & cleaning products,0,285836
NS,71,275638,Precious metals & stones,0,275638
NS,67,275070,Feathers & artificial flowers,0,275070
SK,97,275018,Works of art,0,275018
NL,01,273894,Live animals,0,273894
NS,26,265020,"Ores, slag & ash",0,265020
YT,05,263975,Other animal products,0,263975
NS,51,261335,Wool,0,261335
SK,52,258559,Cotton,0,258559
NS,78,236906,Lead,0,236906
SK,79,211358,Zinc,0,211358
NL,74,199048,Copper,0,199048
SK,46,196207,Basketware,0,196207
NS,92,191101,Musical instruments,0,191101
NB,91,191032,Clocks & watches,0,191032
NL,21,189107,Misc food preparations,0,189107
PE,17,182890,Sugars,0,182890
AB,50,179853,Silk,0,179853
YT,38,168173,Misc chemical products,0,168173
SK,41,164535,Raw hides & skins,0,164535
NS,52,163207,Cotton,0,163207
NL,32,155231,Tanning & dye extracts,0,155231
PE,40,147994,Rubber,0,147994
PE,70,145660,Glass,0,145660
NB,51,144309,Wool,0,144309
SK,51,140699,Wool,0,140699
NB,46,137551,Basketware,0,137551
YT,29,137344,Organic chemicals,0,137344
NL,79,129411,Zinc,0,129411
SK,37,120959,Photographic goods,0,120959
SK,53,116199,Vegetable textile fibres,0,116199
PE,48,112147,Paper & paperboard,0,112147
PE,05,110969,Other animal products,0,110969
YT,82,110107,Tools & cutlery,0,110107
NL,61,110024,Knitted apparel,0,110024
NS,14,104354,Vegetable materials,0,104354
NS,91,97952,Clocks & watches,0,97952
NL,95,96019,Toys & sports equipment,0,96019
PE,51,94744,Wool,0,94744
YT,28,92469,Inorganic chemicals,0,92469
NB,97,91220,Works of art,0,91220
NL,06,89676,Live trees & plants,0,89676
NL,44,87441,Wood & wood articles,0,87441
YT,01,85000,Live animals,0,85000
NB,66,84668,Umbrellas,0,84668
NL,13,82028,Resins & gums,0,82028
MB,50,80596,Silk,0,80596
PE,75,79876,Nickel,0,79876
NB,78,78588,Lead,0,78588
YT,35,78141,Protein substances,0,78141
YT,40,76523,Rubber,0,76523
SK,45,75717,Cork,0,75717
NB,43,74374,Furskins,0,74374
SK,80,67914,Tin,0,67914
YT,39,67162,Plastics,0,67162
YT,94,65003,Furniture,0,65003
PE,34,63152,Soap & cleaning products,0,63152
NL,35,62745,Protein substances,0,62745
YT,31,57186,Fertilizers,0,57186
PE,76,55879,Aluminium,0,55879
YT,86,54814,Railway equipment,0,54814
NB,45,51961,Cork,0,51961
YT,63,51718,Other made-up textiles,0,51718
SK,66,46580,Umbrellas,0,46580
YT,83,46033,Miscellaneous metal articles,0,46033
PE,87,45323,Vehicles,0,45323
NS,80,43971,Tin,0,43971
NS,04,43125,Dairy products,0,43125
PE,21,42930,Misc food preparations,0,42930
YT,76,40177,Aluminium,0,40177
YT,12,39854,Oil seeds,0,39854
YT,27,38578,Mineral fuels & oils,0,38578
NB,37,38274,Photographic goods,0,38274
NL,59,37400,Coated textiles,0,37400
NL,30,37259,Pharmaceuticals,0,37259
NL,42,35601,Leather goods,0,35601
NB,53,32937,Vegetable textile fibres,0,32937
NL,65,32850,Headgear,0,32850
NL,36,28487,Explosives,0,28487
NL,20,28178,Prepared vegetables,0,28178
SK,43,27790,Furskins,0,27790
YT,89,25605,Ships & boats,0,25605
NS,45,25373,Cork,0,25373
NL,68,24799,Stone & cement articles,0,24799
NL,49,24216,Printed books & media,0,24216
PE,59,22273,Coated textiles,0,22273
NB,14,21555,Vegetable materials,0,21555
PE,49,21140,Printed books & media,0,21140
PE,42,20882,Leather goods,0,20882
NS,50,20149,Silk,0,20149
YT,36,19989,Explosives,0,19989
NL,08,19179,Fruit & nuts,0,19179
NT,84,18920,Machinery & mechanical appliances,0,18920
NS,24,15875,Tobacco,0,15875
NL,17,14662,Sugars,0,14662
PE,82,13749,Tools & cutlery,0,13749
NT,88,13639,Aircraft & spacecraft,0,13639
NL,24,13171,Tobacco,0,13171
YT,25,12728,"Salt, sulphur, stone, cement",0,12728
SK,50,12667,Silk,0,12667
NL,64,12367,Footwear,0,12367
PE,27,11493,Mineral fuels & oils,0,11493
YT,98,10553,Special transactions (CA),0,10553
YT,26,9770,"Ores, slag & ash",0,9770
YT,48,8317,Paper & paperboard,0,8317
NL,54,8261,Man-made filaments,0,8261
PE,22,7447,Beverages & spirits,0,7447
PE,35,6499,Protein substances,0,6499
NU,84,4204,Machinery & mechanical appliances,0,4204
NL,09,4063,"Coffee, tea & spices",0,4063
NL,22,4002,Beverages & spirits,0,4002
NT,73,3833,Articles of iron & steel,0,3833
YT,64,3809,Footwear,0,3809
NL,67,3728,Feathers & artificial flowers,0,3728
YT,95,2942,Toys & sports equipment,0,2942
NL,71,2810,Precious metals & stones,0,2810
NL,45,2715,Cork,0,2715
PE,96,2636,Miscellaneous manufactures,0,2636
NU,48,2622,Paper & paperboard,0,2622
NL,33,2559,Cosmetics & perfumes,0,2559
NL,51,2528,Wool,0,2528
NL,29,2517,Organic chemicals,0,2517
NL,58,2501,Special woven fabrics,0,2501
NL,91,2096,Clocks & watches,0,2096
NL,16,2088,Prepared meat & fish,0,2088
PE,88,1905,Aircraft & spacecraft,0,1905
NL,98,1854,Special transactions (CA),0,1854
NL,69,1717,Ceramic products,0,1717
YT,42,1633,Leather goods,0,1633
NS,01,1540,Live animals,0,1540
YT,69,1532,Ceramic products,0,1532
NT,82,1369,Tools & cutlery,0,1369
NL,97,1134,Works of art,0,1134
PE,83,1036,Miscellaneous metal articles,0,1036
PE,61,986,Knitted apparel,0,986
PE,19,880,Prepared cereals,0,880
NU,89,800,Ships & boats,0,800
NL,43,786,Furskins,0,786
NL,66,747,Umbrellas,0,747
NU,49,546,Printed books & media,0,546
NL,60,527,Knitted fabrics,0,527
YT,44,510,Wood & wood articles,0,510
YT,96,486,Miscellaneous manufactures,0,486
NU,40,437,Rubber,0,437
YT,70,435,Glass,0,435
NL,55,425,Man-made staple fibres,0,425
NL,78,424,Lead,0,424
PE,94,407,Furniture,0,407
NL,57,346,Carpets,0,346
PE,69,303,Ceramic products,0,303
NU,96,268,Miscellaneous manufactures,0,268
YT,61,214,Knitted apparel,0,214
NB,24,213,Tobacco,0,213
NB,50,200,Silk,0,200
PE,63,173,Other made-up textiles,0,173
YT,68,166,Stone & cement articles,0,166
YT,55,163,Man-made staple fibres,0,163
NS,43,153,Furskins,0,153
PE,68,130,Stone & cement articles,0,130
PE,20,114,Prepared vegetables,0,114
PE,62,100,Woven apparel,0,100
YT,22,84,Beverages & spirits,0,84
NL,37,75,Photographic goods,0,75
YT,56,58,Wadding & felt,0,58
PE,25,54,"Salt, sulphur, stone, cement",0,54
NL,07,24,Vegetables,0,24
NL,31,3,Fertilizers,0,3
YT,57,1,Carpets,0,1
